node;ingest_year;num_alarms_per_year;sum_duration_hours;avg_duration_hours;total_tics
GI16A;2024;8;12.1;1.51;47
ZX14Z;2024;4;4.19;1.05;0
SE65L;2024;9;93.92;10.44;0
CX13W;2024;17;1.91;0.11;0
AB10A;2024;16;3.52;0.22;0
CO40B;2024;149;548.75;3.68;0
SS13D;2024;10;52.29;5.23;5
AB09R;2024;110;2.51;0.02;0
CO51R;2024;32;2.9;0.09;0
GI15Z;2024;35;9.93;0.28;1
LX26Z;2024;2;0.34;0.17;0
BY74V;2024;6;4.17;0.7;0
BX57K;2024;7;4.97;0.71;0
GI14X;2024;57;13.1;0.23;90
TX04L;2024;18;154.5;8.58;3
TX86X;2024;13;3.44;0.26;0
BX43N;2024;22;82.96;3.77;6
AB18N;2024;92;21.91;0.24;4
AB41A;2024;41;96.81;2.36;1
HX64H;2024;8;3.0;0.38;0
MU52X;2024;25;7.49;0.3;0
SS10F;2024;22;61.3;2.79;0
OR48W;2024;32;13.25;0.41;0
LE91X;2024;34;2.13;0.06;0
TF12N;2024;24;8.96;0.37;1
TF03D;2024;53;2.12;0.04;1
SG20M;2024;4;32.83;8.21;0
MX62M;2024;35;57.89;1.65;0
MX95K;2024;6;8.58;1.43;0
TX01Q;2024;31;51.32;1.66;0
MX50Q;2024;23;3.08;0.13;0
SS20F;2024;72;275.44;3.83;6
PO93G;2024;7;0.08;0.01;0
SE06P;2024;10;4.91;0.49;0
MU47X;2024;41;18.5;0.45;0
PX58I;2024;12;29.18;2.43;0
VI04F;2024;5;0.99;0.2;0
TO03R;2024;9;2.25;0.25;0
GI62X;2024;12;12.83;1.07;0
HX65W;2024;11;1.58;0.14;0
LX92L;2024;30;50.83;1.69;0
TX63B;2024;13;1.09;0.08;0
BX67J;2024;4;2.34;0.59;0
TX58Z;2024;16;18.82;1.18;2
GI39N;2024;2;1.57;0.79;0
CA56L;2024;17;11.08;0.65;0
OX16H;2024;12;16.93;1.41;28
AV95M;2024;23;0.59;0.03;0
SO98W;2024;4;0.5;0.13;0
GC59S;2024;7;0.25;0.04;0
HX98W;2024;39;14.57;0.37;0
HX94W;2024;78;14.62;0.19;0
CR10A;2024;38;25.93;0.68;4
CR05F;2024;18;9.08;0.5;1
BA08J;2024;60;13.85;0.23;0
SG04V;2024;30;2.01;0.07;0
GI16W;2024;20;3.25;0.16;0
SS15P;2024;8;4.31;0.54;0
BX03Z;2024;8;0.92;0.11;0
TF13L;2024;18;22.05;1.23;5
TF46N;2024;19;6.33;0.33;1
LU73W;2024;2;0.58;0.29;0
OX25L;2024;29;47.3;1.63;1
BX24S;2024;29;6.47;0.22;3
GC00Z;2024;13;9.9;0.76;0
BA59W;2024;22;7.33;0.33;0
VX14Y;2024;16;14.61;0.91;0
GR27W;2024;29;24.1;0.83;0
LE73W;2024;5;0.84;0.17;0
MA73A;2024;17;7.41;0.44;0
CR60C;2024;25;5.52;0.22;3
PX01I;2024;9;4.93;0.55;0
LX70X;2024;4;36.64;9.16;0
BA09W;2024;18;4.75;0.26;0
ZX67S;2024;78;28.45;0.36;1
GC87F;2024;13;13.99;1.08;30
CO07S;2024;177;722.84;4.08;0
LX22Z;2024;13;22.35;1.72;0
TX13U;2024;8;2.26;0.28;0
GI21O;2024;36;7.99;0.22;0
SO79W;2024;25;8.19;0.33;0
TE18A;2024;56;13.51;0.24;16
CS39A;2024;31;8.33;0.27;0
SO58W;2024;11;5.57;0.51;1
OX54L;2024;46;10.78;0.23;0
BU46E;2024;14;25.82;1.84;3
LE03W;2024;14;24.49;1.75;0
AX62Y;2024;18;6.02;0.33;0
SE17W;2024;79;120.73;1.53;0
OX39C;2024;10;29.24;2.92;3
TO38A;2024;31;11.53;0.37;68
MA24W;2024;23;21.41;0.93;0
AL02O;2024;23;3.44;0.15;0
AX70M;2024;10;5.58;0.56;0
MA44K;2024;4;2.43;0.61;0
MA64K;2024;8;4.32;0.54;0
CC06R;2024;5;1.5;0.3;0
LO03X;2024;15;1.49;0.1;0
SO74M;2024;16;15.39;0.96;2
LO23R;2024;13;3.78;0.29;0
CA21S;2024;65;20.21;0.31;0
TO10A;2024;25;2.47;0.1;0
SX01L;2024;4;290.16;72.54;0
AL57J;2024;20;29.3;1.47;0
SO49W;2024;9;4.33;0.48;0
MA18W;2024;40;9.83;0.25;0
PO71L;2024;53;50.69;0.96;0
TF40Y;2024;22;17.55;0.8;1
SE23C;2024;13;5.24;0.4;0
CO23B;2024;166;1208.57;7.28;0
SO97M;2024;57;56.58;0.99;1
SE85S;2024;24;20.28;0.84;0
VA31D;2024;22;3.67;0.17;0
CS98A;2024;34;19.23;0.57;1
PM65X;2024;12;5.15;0.43;0
LU13W;2024;3;0.76;0.25;0
MX47M;2024;3;8.25;2.75;0
MX65S;2024;14;51.42;3.67;0
BX97F;2024;12;2.8;0.23;0
GC22S;2024;47;104.75;2.23;0
GI26U;2024;5;2.17;0.43;0
GI72R;2024;85;8.68;0.1;0
TX55Z;2024;14;74.85;5.35;0
BY53V;2024;10;5.91;0.59;0
TX71S;2024;9;2.63;0.29;0
TX74K;2024;28;17.71;0.63;3
CA20S;2024;23;30.61;1.33;0
GC57S;2024;11;18.43;1.68;4
SE79B;2024;3;0.32;0.11;0
AV22P;2024;10;4.87;0.49;0
BX89X;2024;7;6.5;0.93;0
AL39K;2024;24;44.76;1.87;0
GI02Q;2024;10;83.41;8.34;165
TF58N;2024;18;18.91;1.05;1
TF02M;2024;10;5.64;0.56;1
SS14F;2024;37;4.86;0.13;3
SG01Y;2024;11;6.44;0.59;0
CC07W;2024;11;1.47;0.13;0
BA08W;2024;17;2.0;0.12;0
SO19O;2024;49;4.5;0.09;2
PO87W;2024;13;1.91;0.15;0
GC09B;2024;137;29.35;0.21;0
MU67T;2024;11;1.17;0.11;0
AB10T;2024;11;28.5;2.59;0
MA74I;2024;13;4.84;0.37;0
GU02E;2024;21;0.91;0.04;0
TO93R;2024;11;3.61;0.33;0
VX48K;2024;4;1.16;0.29;0
HU03R;2024;106;206.62;1.95;0
CA51H;2024;25;2.8;0.11;0
GC51C;2024;50;111.54;2.23;3
VX65P;2024;11;4.3;0.39;0
